id,url,tag,right_tag_cn,您的注释,待验证组合tag,待验证相克tag
243,arm_garter,arm_garter,手臂袜带,,,
244,arm_grab,arm_grab,抓住手臂,,,
245,arm_guards,arm_guards,护臂,,,
246,arm_held_back,arm_held_back,手臂往后拉,,,
247,arm_hug,arm_hug,挽手,,,
248,arm_ribbon,arm_ribbon,手臂丝带,,,
249,arm_support,arm_support,手臂支撑动作,,,
250,arm_tattoo,arm_tattoo,手臂有纹身,,,
251,arm_under_breasts,arm_under_breasts,托胸,,,
252,arm_up,arm_up,举着手,,,
253,arm_warmers,arm_warmers,暖袖,,,
254,arm_wrap,arm_wrap,袖套,,,
255,armband,armband,腕标,,,
256,armchair,armchair,扶手椅,,,
257,armlet,armlet,臂章,,,
258,armor,armor,盔甲,,,
259,armored_boots,armored_boots,装甲靴,,,
260,armored_dress,armored_dress,战甲裙,,,
261,armpit_crease,armpit_crease,腋窝皱褶,,,
262,armpit_cutout,armpit_cutout,衣服有能露出腋下的开口,,,
263,armpit_hair,armpit_hair,腋毛,,,
264,armpit_peek,armpit_peek,吸睛的腋窝,,,
265,armpits,armpits,腋下,,,
266,arms_around_neck,arms_around_neck,双手搂着脖子,,,
267,arms_at_sides,arms_at_sides,双手垂放,,,
268,arms_behind_back,arms_behind_back,双手背到身后,,,
269,arms_behind_head,arms_behind_head,双手抱头,,,
270,arms_under_breasts,arms_under_breasts,双手托胸,,,
271,arms_up,arms_up,举起手,,,
272,army,army,军队,,,
273,arrancar,arrancar,破面(死神系列),,,
274,arrow_(projectile),arrow_(projectile),箭矢,,,
275,arrow_(symbol),arrow_(symbol),箭头,,,
276,art_brush,art_brush,画笔,,,
277,art_nouveau,art_nouveau,新艺术,,,
278,artbook,artbook,美术集,,,
279,artificial_vagina,artificial_vagina,飞机杯,,,
280,artist_name,artist_name,作者署名,,,
281,artist_self-insert,artist_self-insert,以作者本人为蓝本,,,
282,asa_no_ha_(pattern),asa_no_ha_(pattern),麻叶纹,,,
283,ascot,ascot,阿斯科特领巾,,,
284,ashford_academy_uniform,ashford_academy_uniform,阿什福特学院制服,,,
285,asian,asian,亚洲人,,,
286,asphyxiation,asphyxiation,窒息,,,
287,ass,ass,屁股,,,
288,ass-to-ass,ass-to-ass,屁股贴屁股,,,
289,ass_cutout,ass_cutout,露出屁股的服饰,,,
290,ass_focus,ass_focus,屁股为焦点,,,
291,ass_grab,ass_grab,抓着屁股,,,
292,ass_shake,ass_shake,晃屁股,,,
293,ass_support,ass_support,托着屁股,,,
294,ass_visible_through_thighs,ass_visible_through_thighs,正面可见的屁股,,,
295,assault_rifle,assault_rifle,突击步枪,,,
296,assisted_exposure,assisted_exposure,剥开衣服,,,
297,asymmetrical_bangs,asymmetrical_bangs,不对称的刘海,,,
298,asymmetrical_clothes,asymmetrical_clothes,不对称的服饰,,,
299,asymmetrical_docking,asymmetrical_docking,胸部互碰|胸顶着胸,,,
300,asymmetrical_gloves,asymmetrical_gloves,不对称的手套,,,
301,asymmetrical_hair,asymmetrical_hair,不对称的发型,,,
302,asymmetrical_horns,asymmetrical_horns,不对称的角,,,
303,asymmetrical_legwear,asymmetrical_legwear,不对称的裤子,,,
304,asymmetrical_sleeves,asymmetrical_sleeves,不对称的袖子,,,
305,asymmetrical_wings,asymmetrical_wings,不对称的翅膀,,,
306,athletic_leotard,athletic_leotard,体操服,,,
307,attack,attack,攻击,,,
308,audible_music,audible_music,有音乐,,,
309,audible_speech,audible_speech,有人声,,,
310,audience,audience,观众,,,
311,aura,aura,灵气,,,
312,autobot,autobot,汽车人,,,
313,autumn,autumn,秋天,,,
314,autumn_leaves,autumn_leaves,秋叶,,,
315,axe,axe,斧头,,,
316,baby,baby,宝宝,,,
317,babydoll,babydoll,性感女性睡衣,,,
318,back,back,后背,,,
319,back-print_panties,back-print_panties,背面印花的内裤,,,
320,back-seamed_legwear,back-seamed_legwear,袜缝,,,
321,back-to-back,back-to-back,背靠背,,,
322,back_bow,back_bow,(服饰)打在背后的结,,,
323,back_cutout,back_cutout,露出部分后背的衣服,,,
324,back_tattoo,back_tattoo,背部纹身,,,
325,backboob,backboob,从背后可看到的胸部,,,
326,background_text,background_text,背景文字,,,
327,backless_dress,backless_dress,露背连衣裙,,,
328,backless_outfit,backless_outfit,露背装,,,
329,backlighting,backlighting,逆光,,,
330,backpack,backpack,背包,,,
331,backpack_removed,backpack_removed,卸下的包,,,
332,backwards_hat,backwards_hat,反扣的帽子,,,
333,bad_anatomy,bad_anatomy,错误的人体结构,,,
334,bad_end,bad_end,坏结局,,,
335,bad_feet,bad_feet,脚的画法错误,,,
336,bad_hands,bad_hands,手的画法错误,,,
337,bad_perspective,bad_perspective,错误的(画法)透视,,,
338,bad_proportions,bad_proportions,人体比例不协调,,,
339,badge,badge,徽章,,,
340,bag,bag,包,,,
341,bag_charm,bag_charm,背包挂件,,,
342,bagged_fish,bagged_fish,金鱼水袋,,,
343,bags_under_eyes,bags_under_eyes,眼袋,,,
344,baguette,baguette,法国面包,,,
345,balancing,balancing,(保持)平衡的姿势,,,
346,bald,bald,秃头,,,
347,ball,ball,球,,,
348,ball_gag,ball_gag,口球,,,
349,ballerina,ballerina,芭蕾舞女演员,,,
350,ballet_slippers,ballet_slippers,芭蕾舞鞋,,,
351,balloon,balloon,气球,,,
352,ballpoint_pen_(medium),ballpoint_pen_(medium),圆珠笔,,,
353,bamboo,bamboo,竹子,,,
354,bamboo_broom,bamboo_broom,竹扫帚,,,
355,bamboo_forest,bamboo_forest,竹林,,,
356,bamboo_steamer,bamboo_steamer,蒸笼,,,
357,banana,banana,香蕉,,,
358,band_uniform,band_uniform,乐队制服,,,
359,bandage_on_face,bandage_on_face,贴有绷带的脸,,,
360,bandage_over_one_eye,bandage_over_one_eye,缠着绷带的单眼,,,
361,bandaged_arm,bandaged_arm,缠着绷带的手臂,,,
362,bandaged_hands,bandaged_hands,缠着绷带的手,,,
363,bandaged_head,bandaged_head,绑着绷带的头,,,
364,bandaged_leg,bandaged_leg,绑着绷带的腿,,,
365,bandages,bandages,绷带,,,
366,bandaid,bandaid,创可贴,,,
367,bandaid_on_arm,bandaid_on_arm,手臂上贴着创可贴,,,
368,bandaid_on_face,bandaid_on_face,脸上贴着创可贴,,,
369,bandaid_on_forehead,bandaid_on_forehead,额头贴着创可贴,,,
370,bandaid_on_knee,bandaid_on_knee,膝盖贴着创可贴,,,
371,bandaid_on_leg,bandaid_on_leg,腿上贴着创可贴,,,
372,bandaid_on_nose,bandaid_on_nose,鼻梁上贴着创可贴,,,
373,bandaid_on_pussy,bandaid_on_pussy,阴部贴着创可贴,,,
374,bandaids_on_nipples,bandaids_on_nipples,乳头贴着创可贴,,,
375,bandana,bandana,头巾,,,
376,bandeau,bandeau,抹胸比基尼,,,
377,bandolier,bandolier,子弹带,,,
378,bangle,bangle,手镯,,,
379,bangs,bangs,刘海,,,
380,bangs_pinned_back,bangs_pinned_back,掀起的刘海,,,
381,baozi,baozi,包子,,,
382,bar,bar,酒吧,,,
383,bar_censor,bar_censor,黑条打码,,,
384,bara,bara,大叔,,,
385,barcode,barcode,条形码,,,
386,barcode_tattoo,barcode_tattoo,条形码纹身,,,
387,bare_arms,bare_arms,裸臂,,,
388,bare_back,bare_back,裸背,,,
389,bare_hips,bare_hips,裸臀,,,
390,bare_legs,bare_legs,裸腿,,,
391,bare_shoulders,bare_shoulders,露肩,,,
392,bare_tree,bare_tree,枯木,,,
393,barefoot,barefoot,裸足,,,
394,barefoot_sandals,barefoot_sandals,裸足凉鞋,,,
395,barrel,barrel,桶子,,,
396,bartender,bartender,酒保,,,
397,baseball,baseball,棒球,,,
398,baseball_bat,baseball_bat,棒球棍,,,
399,baseball_cap,baseball_cap,棒球帽,,,
400,baseball_mitt,baseball_mitt,棒球手套,,,
401,baseball_uniform,baseball_uniform,棒球服,,,
402,basket,basket,篮子,,,
403,basketball,basketball,篮球,,,
404,bass_clef,bass_clef,低音符,,,
405,bass_guitar,bass_guitar,贝斯,,,
406,bat,bat,蝙蝠,,,
407,bat_ears,bat_ears,蝙蝠耳朵,,,
408,bat_hair_ornament,bat_hair_ornament,蝙蝠发饰,,,
409,bat_print,bat_print,蝙蝠印花,,,
410,bat_wings,bat_wings,蝙蝠翅膀,,,
411,bath,bath,洗澡,,,
412,bath_stool,bath_stool,浴凳,,,
413,bath_yukata,bath_yukata,浴衣,,,
414,bathing,bathing,入浴,,,
415,bathroom,bathroom,浴室,,,
416,bathtub,bathtub,浴缸,,,
417,baton,baton,指挥棒,,,
418,battle,battle,战斗|比试|战争|游戏,,,
419,battle_axe,battle_axe,战斧,,,
420,battle_rifle,battle_rifle,战术步枪,,,
421,battleship,battleship,战舰,,,
422,bayonet,bayonet,刺刀,,,
423,bc_freedom_military_uniform,bc_freedom_military_uniform,BC自由学园制服,,,
424,bdsm,bdsm,SM,,,
425,beach,beach,海滩,,,
426,beach_chair,beach_chair,沙滩椅,,,
427,beach_towel,beach_towel,沙滩巾,,,
428,beach_umbrella,beach_umbrella,沙滩伞,,,
429,beachball,beachball,沙滩球,,,
430,bead_bracelet,bead_bracelet,珠子手链,,,
431,bead_necklace,bead_necklace,珠子项链,,,
432,beads,beads,珠子,,,
433,beam,beam,光束,,,
434,beam_rifle,beam_rifle,激光步枪,,,
435,beamed_eighth_notes,beamed_eighth_notes,八分音符,,,
436,beamed_sixteenth_notes,beamed_sixteenth_notes,十六分音符,,,
437,beanie,beanie,无檐帽,,,
438,beans,beans,豆,,,
439,bear,bear,熊,,,
440,bear_ears,bear_ears,熊耳朵,,,
441,bear_hair_ornament,bear_hair_ornament,熊印花头饰,,,
442,bear_panties,bear_panties,熊印花内裤,,,
443,bear_print,bear_print,熊印花,,,
444,beard,beard,胡须,,,
445,beckoning,beckoning,招手,,,
446,bed,bed,床,,,
447,bed_sheet,bed_sheet,床单,,,
448,bedroom,bedroom,卧室,,,
449,beer,beer,啤酒,,,
450,beer_can,beer_can,听装啤酒,,,
451,beer_mug,beer_mug,啤酒杯,,,
452,behind-the-head_headphones,behind-the-head_headphones,从后脑戴上的耳机,,,
453,beige_background,beige_background,米色背景,,,
454,beige_sweater,beige_sweater,米色毛衣,,,
455,bell,bell,钟|铃,,,
456,bell_choker,bell_choker,铃铛项圈,,,
457,belly,belly,腹部,,,
458,belly_chain,belly_chain,脐链,,,
459,belly_grab,belly_grab,捏着肚子,,,
460,belt,belt,皮带|腰带,,,
461,belt_boots,belt_boots,皮带靴,,,
462,belt_buckle,belt_buckle,皮带扣,,,
463,belt_collar,belt_collar,皮项圈,,,
464,belt_pouch,belt_pouch,腰包,,,
465,beltbra,beltbra,皮带束胸,,,
466,beltskirt,beltskirt,皮带裙,,,
467,bench,bench,长凳,,,
468,bendy_straw,bendy_straw,弯折的吸管,,,
469,bent_over,bent_over,弯腰,,,
470,beret,beret,贝雷帽,,,
471,bespectacled,bespectacled,戴眼镜的,,,
472,bestiality,bestiality,兽交|兽奸|异种奸,,,
473,between_breasts,between_breasts,乳沟里,,,
474,between_fingers,between_fingers,(突出)指间,,,
475,between_legs,between_legs,(强调)两腿之间,,,
476,between_thighs,between_thighs,(强调)大腿之间,,,
477,bib,bib,围兜,,,
478,bicycle,bicycle,自行车,,,
479,bicycle_basket,bicycle_basket,自行车篮,,,
480,big_belly,big_belly,大肚子,,,
481,big_hair,big_hair,头发很多的,,,
482,bike_shorts,bike_shorts,紧身裤,,,
483,biker_clothes,biker_clothes,自行车运动服,,,
484,bikesuit,bikesuit,骑行套装,,,
485,bikini,bikini,比基尼,,,
486,bikini_armor,bikini_armor,比基尼盔甲,,,
487,bikini_aside,bikini_aside,从三点剥开的比基尼,,,
488,bikini_bottom,bikini_bottom,比基尼泳裤,,,
489,bikini_lift,bikini_lift,往上剥开的比基尼,,,
490,bikini_pull,bikini_pull,扯着比基尼,,,
491,bikini_skirt,bikini_skirt,比基尼裙,,,
492,bikini_tan,bikini_tan,泳装晒痕,,,
493,bikini_top,bikini_top,只穿着比基尼上衣,,,
494,bikini_top_removed,bikini_top_removed,脱下了比基尼上衣,,,
495,bikini_under_clothes,bikini_under_clothes,比基尼当内衣,,,
496,binoculars,binoculars,双筒望远镜,,,
497,bird,bird,鸟|拟鸟化,,,
498,bird_on_hand,bird_on_hand,手上的鸟,,,
499,bird_on_head,bird_on_head,头上的鸟,,,
500,bird_on_shoulder,bird_on_shoulder,肩上的鸟,,,
501,bird_tail,bird_tail,鸟尾巴,,,
502,biribiri,biribiri,(哔哩哔哩)的电流,,,
503,birthday,birthday,生日,,,
504,birthday_cake,birthday_cake,生日蛋糕,,,
505,birthmark,birthmark,胎记,,,
506,bisexual_(female),bisexual_(female),双性恋(女性),,,
507,bishamonten's_pagoda,bishamonten's_pagoda,毘沙门天宝塔,,,
508,bishamonten's_spear,bishamonten's_spear,毘沙门天之矛,,,
509,bishop_(chess),bishop_(chess),主教(国际象棋),,,
510,bishounen,bishounen,美少年,,,
511,bit_gag,bit_gag,勒住嘴,,,
512,bite_mark,bite_mark,咬痕,,,
513,biting,biting,咬,,,
514,biwa_lute,biwa_lute,琵琶,,,
515,black-framed_eyewear,black-framed_eyewear,黑框眼镜,,,
516,black_apron,black_apron,黑色围裙,,,
517,black_armor,black_armor,黑色盔甲,,,
518,black_background,black_background,黑色背景,,,
519,black_belt,black_belt,黑色腰带,,,
520,black_bikini,black_bikini,黑色比基尼,,,
521,black_blindfold,black_blindfold,黑色眼罩,,,
522,black_blouse,black_blouse,黑色上衣,,,
523,black_bodysuit,black_bodysuit,黑色紧身衣,,,
524,black_border,black_border,黑色边框,,,
525,black_bow,black_bow,黑蝴蝶结,,,
526,black_bra,black_bra,黑色内衣,,,
527,black_camisole,black_camisole,黑色吊带背心,,,
528,black_cape,black_cape,黑色斗篷,,,
529,black_capelet,black_capelet,黑色披肩,,,
530,black_cardigan,black_cardigan,黑色开口衬衫,,,
531,black_cat,black_cat,黑猫,,,
532,black_choker,black_choker,黑色项链,,,
533,black_coat,black_coat,黑色外套,,,
534,black_coat_(kingdom_hearts),black_coat_(kingdom_hearts),黑色外套(王国之心),,,
535,black_collar,black_collar,黑色项圈,,,
536,black_dress,black_dress,黑色连衣裙,,,
537,black_eyes,black_eyes,黑色眼睛,,,
538,black_feathers,black_feathers,黑色羽毛,,,
539,black_flower,black_flower,黑色的花,,,
540,black_footwear,black_footwear,黑色的鞋,,,
541,black_gloves,black_gloves,黑色手套,,,
542,black_hair,black_hair,黑发,,,
543,black_hairband,black_hairband,黑色发带,,,
544,black_hakama,black_hakama,黑色的袴,,,
545,black_headband,black_headband,黑色头巾,,,
546,black_headwear,black_headwear,黑色头饰,,,
547,black_hoodie,black_hoodie,黑色连帽衫,,,
548,black_horns,black_horns,黑色的角,,,
549,black_jacket,black_jacket,黑色夹克,,,
550,black_kimono,black_kimono,黑色和服,,,
551,black_legwear,black_legwear,黑丝袜,,,
552,black_leotard,black_leotard,黑色连身衣,,,
553,black_nails,black_nails,黑色指甲,,,
554,black_neckwear,black_neckwear,黑色领子,,,
555,black_panties,black_panties,黑色内裤,,,
556,black_pants,black_pants,黑色长裤,,,
557,black_ribbon,black_ribbon,黑色丝带,,,
558,black_rose,black_rose,黑玫瑰,,,
559,black_sailor_collar,black_sailor_collar,黑色水手领,,,
560,black_scarf,black_scarf,黑色围巾,,,
561,black_sclera,black_sclera,黑色巩膜,,,
562,black_scrunchie,black_scrunchie,黑色发束,,,
563,black_serafuku,black_serafuku,黑色水手服,,,
564,black_shirt,black_shirt,黑色衬衫,,,
565,black_shorts,black_shorts,黑色短裤,,,
566,black_skin,black_skin,黑色皮肤,,,
567,black_skirt,black_skirt,黑色短裙,,,
568,black_sleeves,black_sleeves,黑色袖子,,,
569,black_suit,black_suit,黑色西装,,,
570,black_sweater,black_sweater,黑色毛衣,,,
571,black_swimsuit,black_swimsuit,黑色泳衣,,,
572,black_tail,black_tail,黑色尾巴,,,
573,black_tank_top,black_tank_top,黑色无袖紧身背心,,,
574,black_theme,black_theme,黑色主题,,,
575,black_umbrella,black_umbrella,黑色的伞,,,
576,black_vest,black_vest,黑色背心,,,
577,black_wings,black_wings,黑色翅膀,,,
578,blade,blade,剑,,,
579,blank_eyes,blank_eyes,无神的双眼,,,
580,blank_speech_bubble,blank_speech_bubble,空话泡泡,,,
581,blank_stare,blank_stare,无主的眼神,,,
582,blanket,blanket,毯子,,,
583,blazer,blazer,西装夹克,,,
584,bleeding,bleeding,出血,,,
585,blindfold,blindfold,遮眼|眼罩,,,
586,blinds,blinds,百叶窗,,,
587,blinking,blinking,眨眼睛,,,
588,blonde_hair,blonde_hair,金发,,,
589,blonde_pubic_hair,blonde_pubic_hair,金色阴毛,,,
590,blood,blood,血,,,
591,blood_from_mouth,blood_from_mouth,嘴角流血,,,
592,blood_on_face,blood_on_face,脸上有血,,,
593,blood_splatter,blood_splatter,溅血,,,
594,blood_stain,blood_stain,血迹,,,
595,bloody_clothes,bloody_clothes,衣服沾血,,,
596,bloody_tears,bloody_tears,血泪,,,
