id,name,t_name,is_nsfw,desc,remarks,c_id,update_times
133,47,47,0,,,3101,
134,47agdragon,47蛟龙,0,,,2501,
135,49s-aragon,49s-阿拉贡,0,,,2501,
136,4boys,4个男孩,0,,,3101,
137,4chan,4chan,0,,,2501,
138,4koma,4koma,0,,,2501,
139,4others,其他 4,0,,,2501,
140,4shi,4shi,0,,,2501,
141,4suke,4助,0,,,2501,
142,501st joint fighter wing,第501联合战斗机联队,0,,,3101,
143,547th sy,第 547 系统,0,,,3101,
144,54hao,54号,0,,,3101,
145,5boys,5个男孩,0,,,3101,
146,5danny1206,5丹尼1206,0,,,3101,
147,5koma,5koma,0,,,3101,
148,5others,其他 5,0,,,3101,
149,6 (yuchae),6（鱼菜）,0,,,2311,
150,6+boys,6+男孩,0,,,3101,
151,6+others,6+其他,0,,,3101,
152,60+fps,60+fps,0,,,3101,
153,60mai,60 迈,0,,,3101,
154,666,666,0,,,3101,
155,69,69,0,,,3101,
156,6koma,6koma,0,,,3101,
157,6u (eternal land),6u（永恒之地）,0,,,2501,
158,6月30日,6月30日,0,,,3101,
159,7 calpis 7,7 卡尔皮斯 7,0,,,3101,
160,7-eleven,7月11日,0,,,3101,
161,7-tan,7-棕褐色,0,,,1701,
162,7001,7001,0,,,3101,
163,7010,7010,0,,,3101,
164,71,71,0,,,3101,
165,74,74,0,,,3101,
166,74 (teduka),74（特杜卡）,0,,,2799,
167,774 (nanashi),774（七无）,0,,,2799,
168,77gl,77gl,0,,,3101,
169,78rr,78rr,0,,,3101,
170,7gao,7高,0,,,3101,
171,7ife,7生活,0,,,3101,
172,7lark,7云雀,0,,,3101,
173,7th dragon,第七龙,0,,,2605,
174,7th dragon (series),第七龙（系列）,0,,,2605,
175,7th dragon 2020,第七龙 2020,0,,,2605,
176,7th dragon 2020-ii,第七龙 2020-ii,0,,,2605,
177,7zu7,7zu7,0,,,3101,
178,7月22日,7月22日,0,,,3101,
179,8 (yamalu),8（亚马鲁）,0,,,2799,
180,8-gou (mechanist08),8-gou (mechanist08),0,,,2501,
181,846-gou,846-勾,0,,,2501,
182,86 -eightysix-,86-八十六-,0,,,2501,
183,888myrrh888,888没药888,0,,,2501,
184,92m,92m,0,,,2501,
185,95-tan,95-棕褐色,0,,,2501,
186,98-tan,98-棕褐色,0,,,2501,
187,98se-tan,98se-tan,0,,,2501,
188,9a-91,9a-91,0,,,2501,
189,9a-91 (girls' frontline),9a-91（女生前线）,0,,,2501,
190,9law,9法律,0,,,2501,
191,:/,:/,0,,,1406,
192,:3,:3,0,,,1406,
193,:<,:<,0,,,1406,
194,:<>,:<>,0,,,1406,
195,:>,:>,0,,,1406,
196,:>=,:>=,0,,,1406,
197,:c,:c,0,,,1406,
198,:d,:d,0,,,1406,
199,:i,:i,0,,,1406,
200,:o,:o,0,,,1406,
201,:p,:p,0,,,1406,
202,:q,:q,0,,,1406,
203,:s,:s,0,,,1406,
204,:t,:t,0,,,1406,
205,:x,:x,0,,,1406,
206,:|,:|,0,,,1406,
207,;(,;(,0,,,1406,
208,;),;),0,,,1406,
209,;/,;/,0,,,1406,
210,;3,;3,0,,,1406,
211,;<,;<,0,,,1406,
212,;>,;>,0,,,1406,
213,;d,;d,0,,,1406,
214,;o,;o,0,,,1406,
215,;p,;p,0,,,1406,
216,;q,;q,0,,,1406,
217,;t,;t,0,,,1406,
218,;|,;|,0,,,1406,
219,<o> <o>,<o> <o>,0,,,1406,
220,<|> <|>,<|> <|>,0,,,1406,
221,= =,= =,0,,,1406,
222,> <,> <,0,,,1406,
223,> o,> o,0,,,1406,
224,>:(,>:(,0,,,1406,
225,>:),>:),0,,,1406,
226,>o<,>o<,0,,,1406,
227,?,?,0,,,1406,
228,? block,?块,0,,,3101,
229,??,??,0,,,3101,
230,@ @,@@,0,,,3101,
231,@@@,@@@,0,,,3101,
232,a (aaaaaaaaaaw),一个 (aaaaaaaaaaaw),0,,,2799,
233,a (phrase),一个（短语）,0,,,2799,
234,a channel,一个频道,0,,,3101,
235,a deer of nine colors,九色鹿,0,,,2306,
236,a hat in time,及时戴上帽子,0,,,1809,
237,a maru,丸,0,,,3101,
238,a song of ice and fire,冰与火之歌,0,,,3101,
239,a-chan (hololive),a-chan (hololive),0,,,2799,
240,a-ka,又名,0,,,3101,
241,a-rise,上升,0,,,3101,
242,a-soul,灵魂,0,,,3101,
243,a.a (aa772),aa (aa772),0,,,2799,
244,a.b.a,阿巴,0,,,3101,
245,a.hebmuller,a.hebmuller,0,,,3101,
246,a.i. voice,人工智能语音,0,,,3101,
247,a.t. zero,零,0,,,3101,
248,a.x.,斧头,0,,,3101,
249,a1,a1,0,,,3101,
250,a6m zero,a6m 零,0,,,3101,
251,a9b (louis814),a9b (路易斯814),0,,,2799,
252,a:n (angrynum),一个：n（愤怒）,0,,,2799,
253,aa megami-sama,aa 女神大人 1018,0,,,3101,
254,aa-12,AA-12,0,,,3101,
255,aa-12 (girls' frontline),aa-12（女子前线）,0,,,2713,
256,aa2233a,aa2233a,0,,,3101,
257,aaaa (quad-a),aaaa (quad-a),0,,,2799,
258,aaeru,艾鲁,0,,,3101,
259,aak,aak,0,,,3101,
260,aak (arknights),aak（方舟之夜）,0,,,2710,
261,aang,昂,0,,,3101,
262,aano (10bit),aano (10位),0,,,2799,
263,aardwolf (kemono friends),aardwolf (kemono 朋友),0,,,2607,
264,aardwolf print,土狼印花,0,,,3101,
265,aardwolf tail,土狼尾巴,0,,,3101,
266,aaru (tenrake chaya),aaru (tenrake chaya),0,,,2501,
267,aaru sentou shuudan,aaru sentou shuudan,0,,,2501,
268,abacus,算盘,0,,,3101,
269,abandon ranka,放弃兰卡,0,,,2501,
270,abandoned,被遗弃,0,,,2501,
271,abara heiki,原平辉,0,,,2501,
272,abarai renji,阿原井仁济,0,,,2501,
273,abaratani kurou,原谷九郎,0,,,2501,
274,abaraya,巴拉亚,0,,,2501,
275,abazu-red,abazu-红,0,,,2501,
276,abbreviated karakusa,简写 karakusa,0,,,2501,
277,abbystea,阿比斯蒂亚,0,,,2501,
278,abe inori,阿部伊诺里,0,,,2501,
279,abe kanari,阿部金成,0,,,2501,
280,abe nana,阿部娜娜,0,,,2501,
281,abe suke,安倍助,0,,,2501,
282,abe takakazu,阿部高和,0,,,2501,
283,abe yoshitoshi,安倍佳俊,0,,,2501,
284,abekawa,阿部川,0,,,2501,
285,abenattou,阿贝纳图,0,,,2501,
286,abenobashi mahou shoutengai,abenobashi mahoushuengai,0,,,2501,
287,abi (abimel10),abi (abimel10),0,,,2501,
288,abigail williams (emerald float) (fate),阿比盖尔威廉姆斯（翡翠浮动）（命运）,0,,,2606,
289,abigail williams (fate),阿比盖尔威廉姆斯（命运）,0,,,2606,
290,abigail williams (festival outfit) (fate),阿比盖尔威廉姆斯（节日服装）（命运）,0,,,2606,
291,abigail williams (second ascension) (fate),阿比盖尔·威廉姆斯（第二次扬升）（命运）,0,,,2606,
292,abigail williams (swimsuit foreigner) (first ascension) (fate),abigail williams（泳装外国人）（第一次升天）（命运）,0,,,2606,
293,abigail williams (swimsuit foreigner) (third ascension) (fate),abigail williams (泳装老外) (第三次提升) (命运),0,,,2606,
294,abigail williams (third ascension) (fate),阿比盖尔威廉姆斯（第三次提升）（命运）,0,,,2606,
295,abigail williams (traveling outfit) (fate),阿比盖尔威廉姆斯（旅行装）（命运）,0,,,2606,
296,abiko yuuji,阿比子雄二,0,,,3101,
297,abmayo,阿马约,0,,,3101,
298,abo (hechouchou),abo (合畴丑),0,,,2799,
299,abo (kawatasyunnnosukesabu),abo (kawatasyunnnosukesabu),0,,,2799,
300,abomasnow,厌恶雪,0,,,3101,
301,above clouds,云层之上,0,,,3101,
302,abra,阿布拉,0,,,2602,
303,abs,绝对,0,,,3101,
304,absinthe (arknights),苦艾酒（方舟之夜）,0,,,2710,
305,absol,绝对,0,,,3101,
306,absol (dkqthf),绝对 (dkqthf),0,,,2799,
307,absolum art,绝对艺术,0,,,3101,
308,absolute duo,绝对二人组,0,,,3101,
309,absolutely everyone,绝对是每个人,0,,,3101,
310,abstract,摘要,0,,,3101,
311,absurdly long hair,荒谬的长发,0,,,3101,
312,absurdres,荒谬,0,,,3101,
313,abu,阿布,0,,,3101,
314,abua,阿布阿,0,,,3101,
315,abubu,阿布布,0,,,3101,
316,abukobato,阿布科巴托,0,,,3101,
317,abukuma (kancolle),阿武隈 (kancolle),0,,,2709,
318,abukuma kai ni (kancolle),abukuma kai ni (kancolle),0,,,2709,
319,aburaage,阿布拉奇,0,,,2602,
320,aburidashi zakuro,aburidashi zakuro,0,,,3101,
321,abuse,滥用,0,,,3101,
322,abusoru,abusoru,0,,,3101,
323,abutomato,abutomato,0,,,3101,
324,abyssal admiral (kancolle),深渊海军上将 (kancolle),0,,,2709,
325,abyssal crane princess,深渊仙鹤公主,0,,,3101,
326,ac130,ac130,0,,,3101,
327,accel world,加速世界,0,,,3101,
328,accelerator (toaru majutsu no index),加速器（toaru majutsu no index）,0,,,2799,
329,accessories,配件,0,,,3101,
330,accessory tan,配件棕褐色,0,,,1701,
331,acchi kocchi,阿基科基,0,,,3101,
332,acchii (akina),阿基（阿基纳）,0,,,2799,
333,accident,事故,0,,,3101,
334,accidental exposure,意外暴露,0,,,3101,
335,accidental pervert,意外变态,0,,,3101,
336,accio,阿西奥,0,,,3101,
337,accordion,手风琴,0,,,2104,
338,ace,王牌,0,,,3101,
339,ace attorney,王牌律师,0,,,3101,
340,ace attorney investigations,王牌律师调查,0,,,3101,
341,ace combat,王牌战斗,0,,,3101,
342,ace combat 7,王牌战斗 7,0,,,3101,
343,ace combat zero,王牌战斗零,0,,,3101,
344,ace of clubs,俱乐部王牌,0,,,3101,
345,ace of diamond,钻石王牌,0,,,2304,
346,ace of diamonds,钻石王牌,0,,,2304,
347,ace of spades,黑桃 A,0,,,3101,
348,ace rocket,王牌火箭,0,,,3101,
349,ace trainer (pokemon),王牌教练（口袋妖怪）,0,,,2708,
350,acea4,acea4,0,,,3101,
351,acerola (pokemon),针叶樱桃（口袋妖怪）,0,,,2708,
352,acesrulez,acesrulez,0,,,3101,
353,achakura,茶仓,0,,,3101,
354,achan (blue semi),achan（蓝色半）,0,,,1701,
355,achievement unlocked,成就解锁,0,,,3101,
356,achiga school uniform,achiga 校服,0,,,1805,
357,achiki,立木,0,,,3101,
358,achilles (fate),阿喀琉斯（命运）,0,,,2606,
359,aco (koaya ako),aco (koaya ako),0,,,2799,
360,acog,acog,0,,,3101,
361,acolyte (ragnarok online),侍僧（仙境传说在线）,0,,,2714,
362,acorn,橡子,0,,,3101,
363,acoustic guitar,原声吉他,0,,,3101,
364,acronym,首字母缩略词,0,,,3101,
365,acryl,亚克力,0,,,3101,
366,acrylic paint (medium),丙烯颜料（中）,0,,,2309,
367,act (xadachit),法案 (xadachit),0,,,2799,
368,action,行动,0,,,3101,
369,action figure,可动人偶,0,,,3101,
370,action pizazz,动作活泼,0,,,3101,
371,action taimanin,动作台马宁,0,,,3101,
372,acubi tomaranai,acubi tomaranai,0,,,3101,
373,ad,广告,0,,,3101,
374,ada wong,艾达王,0,,,3101,
375,adachi sakura,足立樱花,0,,,3101,
376,adachi to shimamura,足立到岛村,0,,,3101,
377,adachi tooru,足立彻,0,,,3101,
378,adagaki aki,安垣昭146,0,,,3101,
379,adam's apple,亚当的苹果,0,,,3101,
380,adaman (pokemon),阿达曼（口袋妖怪）,0,,,2708,
381,adapted costume,改编服装,0,,,1701,
382,adapted object,改编对象,0,,,3101,
383,adapted turret,改装炮塔,0,,,3101,
384,adapted uniform,适应制服,0,,,1805,
385,add (elsword),添加（elsword）,0,,,2799,
386,add (fate),加（命运）,0,,,2606,
387,adelbert steiner,阿德伯特·施泰纳,0,,,3101,
388,adeleine,阿德莱娜,0,,,3101,
389,adell (disgaea),阿德尔（disgaea）,0,,,2799,
390,adepta sororitas,修女会,0,,,3101,
391,adeptus astartes,阿斯塔特修会,0,,,3101,
392,adiane,阿黛安娜,0,,,3101,
393,adidas,阿迪达斯,0,,,3101,
394,adjustable wrench,活动扳手,0,,,2104,
395,adjusting another's hair,调整别人的头发,0,,,1601,
396,adjusting bow,调整弓,0,,,3101,
397,adjusting buruma,调整 buruma,0,,,3101,
398,adjusting clothes,调整衣服,0,,,1701,
399,adjusting collar,调节环,0,,,1906,
400,adjusting eyewear,调整眼镜,0,,,1907,
401,adjusting gloves,调节手套,0,,,1808,
402,adjusting goggles,调节护目镜,0,,,3101,
403,adjusting headwear,调整头饰,0,,,3101,
404,adjusting hood,调节罩,0,,,3101,
405,adjusting leotard,调整紧身衣,0,,,1898,
406,adjusting necktie,调整领带,0,,,3101,
407,adjusting panties,调整内裤,0,,,1803,
408,adjusting scarf,调整围巾,0,,,3101,
409,adjusting swimsuit,调整泳衣,0,,,1812,
410,admiral (kancolle) (cosplay),海军上将 (kancolle) (cosplay),0,,,2709,
411,admiral arisugawa,有栖川上将,0,,,3101,
412,admiral graf spee (azur lane),海军上将斯佩伯爵（碧蓝航线）,0,,,2703,
413,admiral graf spee (peaceful daily life) (azur lane),Admiral graf spee (和平的日常生活) (azur Lane),0,,,2703,
414,admiral hipper (azur lane),希珀海军上将（碧蓝航线）,0,,,2703,
415,admiral paru,帕鲁上将,0,,,3101,
416,admiral shiro (shino),白上将（四野）,0,,,2799,
417,admiral suwabe,诹访部上将,0,,,3101,
418,admire vega (umamusume),佩服 vega (umamusume),0,,,1805,
419,adolf hitler,阿道夫·希特勒,0,,,3101,
420,adomi,阿多米,0,,,3101,
421,adrenaline!!!,肾上腺素！！！,0,,,3101,
422,adsouto,广告,0,,,3101,
423,adult baby,成年婴儿,0,,,3101,
424,advance wars,推进战争,0,,,2798,
425,advanced nurturing high school uniform,高级培育高中校服,0,,,1805,
426,advent cirno,降临奇诺,0,,,3101,
427,adventure time,冒险时间,0,,,3101,
428,adventurer (ff14),冒险家 (ff14),0,,,2799,
429,adyisu,阿迪苏,0,,,3101,
430,ae-3803,AE-3803,0,,,3101,
431,aegir (azur lane),艾吉尔（碧蓝航线）,0,,,2703,
432,aegir (housamo),aegir (housamo),0,,,2799,
433,aegis (nerocc),宙斯盾 (nerocc),0,,,2799,
434,aegis (persona),宙斯盾（角色）,0,,,1701,
435,aegis (takunomi),宙斯盾（takunomi）,0,,,2799,
436,aegislash,神盾,0,,,3101,
437,aek-999 (girls' frontline),aek-999（少女前线）,0,,,2713,
438,aer (tengqiu),阿尔（腾丘）,0,,,2799,
439,aer7o,aer7o,0,,,3101,
440,aerial battle,空战,0,,,3101,
441,aerial fireworks,空中烟花,0,,,3101,
442,aerisdies,艾瑞斯迪,0,,,3101,
443,aerith gainsborough,爱丽丝庚斯博罗,0,,,3101,
444,aerodactyl,飞龙,0,,,3101,
445,aeru,aeru,0,,,3101,
446,aestheticc-meme,审美模因,0,,,3101,
447,aestus estus,aestus estus,0,,,3101,
448,aether foundation employee,以太基金会员工,0,,,3101,
449,aether foundation uniform,以太基础制服,0,,,1805,
450,aetherion,以太离子,0,,,3101,
451,affectionate,深情的,0,,,3101,
452,afloat,漂浮,0,,,3101,
453,african penguin (kemono friends),非洲企鹅（kemono 朋友）,0,,,2607,
454,african rock python (kemono friends),非洲岩蟒（kemono 朋友）,0,,,2607,
455,african wild dog (kemono friends),非洲野狗（kemono 朋友）,0,,,2607,
456,african wild dog print,非洲野狗印花,0,,,3101,
457,afro,非洲人,0,,,3101,
458,afrobull,非洲公牛,0,,,3101,
459,after,之后,0,,,3101,
460,after anal,肛门后,0,,,3101,
461,after bathing,沐浴后,0,,,3101,
462,after battle,战斗后,0,,,3101,
463,after ejaculation,射精后,0,,,3101,
464,after fellatio,口交后,0,,,3101,
465,after fingering,指法后,0,,,3101,
466,after insertion,插入后,0,,,3101,
467,after kiss,接吻后,0,,,3101,
468,after masturbation,手淫后,0,,,2104,
469,after paizuri,在 paizuri,0,,,3101,
470,after rain,雨后,0,,,3101,
471,after rape,强奸后,0,,,3101,
472,after sex,性爱后,0,,,3101,
473,after war gundam x,战后高达x,0,,,2604,
474,afterburner,加力燃烧室,0,,,3101,
475,afterglow,余辉,0,,,3101,
476,afterglow (bang dream!),余辉（爆炸梦！）,0,,,2799,
477,afterimage,残像,0,,,3101,
478,afterword,后记,0,,,3101,
479,afukuro,阿福库罗,0,,,3101,
480,afuro,阿芙罗,0,,,3101,
481,afuro terumi,afuro terumi,0,,,3101,
482,agahari,阿加哈里,0,,,3101,
483,against door,对着门,0,,,3101,
484,against fence,对着栅栏,0,,,3101,
485,against fourth wall,靠着第四面墙,0,,,3101,
486,against glass,玻璃,0,,,3101,
487,against mirror,对着镜子,0,,,3101,
488,against railing,靠栏杆,0,,,3101,
489,against rock,对抗岩石,0,,,3101,
490,against table,对着桌子,0,,,3101,
491,against tree,反对树,0,,,2315,
492,against wall,靠墙,0,,,3101,
493,against window,靠窗,0,,,3101,
494,agano (kancolle),agano (kancolle),0,,,2709,
495,agarest senki,阿加雷斯特战记,0,,,3101,
496,agarest senki (series),阿加雷斯特战记（系列）,0,,,2799,
497,agata (agatha),阿加塔 (agatha),0,,,2799,
498,agatsuma kaede,我妻枫,0,,,3101,
499,agatsuma zenitsu,我妻善逸,0,,,3101,
500,agawa ryou,阿川凉,0,,,3101,
501,age comparison,年龄比较,0,,,3101,
502,age conscious,年龄意识,0,,,3101,
503,age difference,年龄差,0,,,3101,
504,age of ishtaria,伊什塔利亚的年龄,0,,,3101,
505,age progression,年龄增长,0,,,3101,
506,age regression,年龄回归,0,,,3101,
507,age switch,年龄开关,0,,,3101,
508,agemono,阿吉莫诺,0,,,3101,
509,agenasu,agenasu,0,,,3101,
510,agent (girls' frontline),特工（少女前线）,0,,,2713,
511,agent 3 (splatoon),特工 3 (splatoon),0,,,2799,
512,agent 4 (splatoon),特工 4 (splatoon),0,,,2799,
513,agent 8 (splatoon),特工 8（喷射）,0,,,2799,
514,agent aika,艾卡特工,0,,,3101,
515,agetama,阿杰塔玛,0,,,3101,
516,aggron,阿格隆,0,,,3101,
517,agito (nanoha),agito (nanoha),0,,,2799,
518,agnamore,阿格纳莫尔,0,,,3101,
519,agnes digital (umamusume),艾格尼丝数码 (umamusume),0,,,2716,
520,agnes oblige,艾格尼丝义务,0,,,3101,
521,agnes tachyon (umamusume),agnes tachyon (umamusume),0,,,2716,
522,agonasubi,agonasubi,0,,,3101,
523,agovitch,阿戈维奇,0,,,3101,
524,agravain (fate),agravain (命运),0,,,2606,
525,agrias oaks,阿格里亚斯橡树,0,,,2315,
526,agrius metamorphosis,agrius 变态,0,,,3101,
527,agumon,亚古兽,0,,,3101,
528,ah-lyong lee,李阿龙,0,,,3101,
529,ahagon umiko,ahagon 美子,0,,,3101,
530,ahegao,ahegao,0,,,3101,
531,ahenn,雅典,0,,,3101,
532,ahoge,ahoge,0,,,3101,
533,ahoge wag,阿霍格摇摆,0,,,3101,
534,ahsoka tano,阿索卡·塔诺,0,,,3101,
535,ai ai gasa,爱爱加沙,0,,,3101,
536,ai arctic warfare,人工智能北极战争,0,,,2798,
537,ai shite! homun,哎呀！霍蒙,0,,,3101,
538,ai takurou,爱拓郎,0,,,3101,
539,ai tenshi densetsu wedding peach,爱天时浓密婚礼桃子,0,,,3101,
540,ai yori aoshi,爱由里奥西,0,,,3101,
541,ai-chan (honkai impact),ai-chan (honkai Impact),0,,,2799,
542,ai-chan (tawawa),爱酱 (tawawa),0,,,2799,
543,ai-wa,爱华,0,,,3101,
544,aiba asagi,相叶朝木,0,,,3101,
545,aiba uiha,aiba uiha,0,,,3101,
546,aiba yumi,相叶由美,0,,,3101,
547,aibumi,爱布米,0,,,3101,
548,aida kensuke,相田健介,0,,,3101,
549,aida mana,艾达法力,0,,,3101,
550,aida rayhunton,艾达·雷亨顿,0,,,3101,
551,aida takanobu,相田隆信,0,,,3101,
552,aida yuu,爱达悠,0,,,3101,
553,aiguillette,针尖,0,,,3101,
554,aihara enju,爱原圆珠,0,,,3101,
555,aihara mei,爱原美,0,,,3101,
556,aihara nana,爱原奈奈,0,,,3101,
557,aihara shouta,爱原绍沙,0,,,3101,
558,aihara yuzu,爱原柚子,0,,,3101,
559,aijou karen,爱茹凯伦,0,,,3101,
560,aika (series),艾卡（系列）,0,,,2799,
561,aika granzchesta,艾卡格兰切斯塔,0,,,3101,
562,aikatsu friends!,合肥朋友们！,0,,,3101,
563,aikatsu on parade!,aikatsu 在游行！,0,,,3101,
564,aikatsu stars!,合肥明星！,0,,,3101,
565,aikatsu!,合胜！,0,,,3101,
566,aikatsu! (series),爱胜！ （系列）,0,,,2799,
567,aikawa arisa,相川有纱,0,,,3101,
568,aikawa chiho,合川千穗,0,,,3101,
569,aikawa chinatsu,合川 chinatsu,0,,,3101,
570,aikawa ruru,相川露露,0,,,3101,
571,aikawa ryou,合川凉,0,,,3101,
572,aikawa tatsuki,合川辰树 105,0,,,2315,
573,aikei ake,艾克艾克,0,,,3101,
574,aikir (jml5160),艾基尔 (jml5160),0,,,2799,
575,aiko (kanl),爱子 (kanl),0,,,2799,
576,aiko (renkin san-kyuu magical pokaan),爱子 (renkin san-kyuu 魔法 pokaan),0,,,2613,
577,aikome (haikome),爱科美 (haikome),0,,,2799,
578,aikura (twilight dusk),aikura（黄昏）,0,,,2799,
579,aila jyrkiainen,艾拉·约尔基亚宁,0,,,2602,
580,aile (crossroads),aile (十字路口),0,,,2799,
581,aile (mega man zx),爱乐 (mega man zx),0,,,2799,
582,aimaina,爱迈纳,0,,,3101,
583,aimee (emi),艾米 (emi),0,,,2799,
584,aiming,瞄准,0,,,3101,
585,aiming at viewer,瞄准观众,0,,,3101,
586,aimitsu (ibityuttyu),爱光 (ibityuttyu),0,,,2799,
587,aimobake,爱烘焙,0,,,3101,
588,aimori meguru,爱森巡视,0,,,3101,
589,aina (mao lian),艾娜（毛连）,0,,,2799,
590,aina ardebit,艾娜借记,0,,,3101,
591,aino heart,爱诺心,0,,,3101,
592,aino megumi,爱野惠,0,,,3101,
593,aino minako,爱野美奈子,0,,,3101,
594,ainu,阿伊努人,0,,,3101,
595,ainy,艾尼,0,,,3101,
